LineId;NormalizedAngle;EntryPointX;EntryPointY;EntryAngle;ConfidenceScore;AmbiguityProb;NeedsReview;RuleApplied
680;90;-77028.3589;38519.6042;270;0.9993100166320801;0.3543335199356079;False;"EntryScorer; BaseModel"
681;90;-77028.3589;54837.5829;270;0.9993225336074829;0.29442182183265686;False;"EntryScorer; BaseModel"
682;90;-63560.3803;38519.6042;270;0.9999996423721313;0.3968406319618225;False;"EntryScorer; BaseModel"
683;90;-63560.3803;49387.5829;90;0.999946117401123;0.42201003432273865;False;"EntryScorer; BaseModel"
684;90;-63560.3803;54837.5829;270;0.9999970197677612;0.33335936069488525;False;"EntryScorer; BaseModel"
685;90;-63560.3803;64181.5646;90;0.9999182224273682;0.39848271012306213;False;"EntryScorer; BaseModel"
686;90;-63560.3803;69528.7891;270;0.9999970197677612;0.31210699677467346;False;"EntryScorer; BaseModel"
687;90;-63560.3803;78872.7708;90;0.9999221563339233;0.34537672996520996;False;"EntryScorer; BaseModel"
688;90;-61636.3833;38519.6042;270;0.9993305206298828;0.35433492064476013;False;"EntryScorer; BaseModel"
689;90;-61636.3833;54837.5829;270;0.9993426203727722;0.29442310333251953;False;"EntryScorer; BaseModel"
690;90;-48168.4047;38519.6042;270;1.0;0.39684033393859863;False;"EntryScorer; BaseModel"
691;90;-48168.4047;49387.5829;90;0.9999862909317017;0.4220188856124878;False;"EntryScorer; BaseModel"
